sep=	
time (source1)	data.0	data.1	data.2	data.3	data.4	data.5	data.6	
0	2.74	19.4	0	3	965	134	35	
2.604	5.344	19.3	0	4	963	134	35	
5.208	7.948	19.3	0	2	270	126	25	
7.812	10.552	19.3	2	2	235	96	25	
10.417	13.156	19.3	0	1	962	133	35	
13.016	15.757	19.2	0	2	963	193	35	
15.621	18.36	19.1	0	3	963	193	35	
18.223	20.964	19.3	1	2	962	133	35	
20.83	23.568	19.2	1	2	960	134	35	
23.435	26.176	19.3	0	4	962	193	35	
26.041	28.78	19.1	0	3	961	134	35	
28.644	31.384	19.4	0	2	959	134	35	
31.247	33.988	19.2	0	3	270	126	25	
33.851	36.592	19.3	0	3	235	96	25	
36.455	39.196	19.5	0	3	960	132	35	
39.061	41.8	19.3	0	3	959	133	35	
41.662	44.404	19.2	0	2	958	134	35	
44.266	47.008	19.2	0	3	271	126	25	
46.87	49.612	19.1	0	2	235	97	25	
49.474	52.216	19.2	0	3	958	134	35	
52.078	54.82	19.2	0	2	959	134	35	
54.7	57.424	19.1	0	3	958	135	35	
57.286	60.028	19	0	3	270	127	25	
59.89	62.632	19	0	4	236	97	25	
62.493	65.236	19.2	0	2	957	133	35	
65.097	67.84	19.2	0	2	958	133	35	
67.703	70.444	19	0	2	958	135	35	
70.305	73.048	19.1	0	2	271	125	25	
72.912	75.652	19	0	3	236	96	25	
75.517	78.26	19.1	0	3	236	99	25	
78.121	80.864	19.1	0	4	429	156	25	
80.724	83.468	19	0	3	237	97	25	
83.328	86.072	19	0	3	954	134	35	
85.933	88.676	19.2	0	3	954	134	35	
88.536	91.28	19	0	3	953	134	35	
91.14	93.884	19	0	1	271	126	25	
93.745	96.489	18.9	0	3	236	98	25	
96.348	99.092	19.1	0	1	954	134	35	
98.951	101.696	18.9	0	3	955	134	35	
101.556	104.3	19	0	3	956	133	35	
104.159	106.904	19.1	1	2	270	127	25	
106.765	109.508	19	0	3	237	97	25	
109.381	112.112	19	0	3	956	134	35	
111.971	114.716	19	0	3	956	134	35	
114.576	117.32	19	0	3	961	133	35	
